epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2258,1.48109,2.81892,1.3855,0.01835,0.97802,0.95353,0.66768,0.8616,3.04242,0.92395,0.000655367,0.000655367,0.000655367
2,18.1003,1.3051,1.70866,1.2085,0.94313,0.93407,0.97772,0.6835,1.06275,1.88233,1.20449,0.00129586,0.00129586,0.00129586
3,25.6474,1.27794,1.32928,1.23072,0.86644,0.85549,0.92295,0.60947,1.20638,1.44713,1.30591,0.00190995,0.00190995,0.00190995
4,33.2006,1.30031,1.13752,1.28805,0.80155,0.88774,0.87194,0.63248,0.95278,1.23746,1.10101,0.0018812,0.0018812,0.0018812
5,40.5796,1.21449,0.9787,1.22735,0.90139,0.80359,0.93313,0.63798,1.08817,0.90289,1.15618,0.0018416,0.0018416,0.0018416
6,49.6197,1.18393,0.82337,1.21827,0.6688,0.79121,0.80881,0.47453,1.32367,1.07062,1.31493,0.001802,0.001802,0.001802
7,60.7708,1.23769,0.7945,1.23076,0.93627,0.97802,0.95921,0.68791,0.91097,0.6483,1.08892,0.0017624,0.0017624,0.0017624
8,72.1551,1.15728,0.75007,1.20462,0.91483,0.9011,0.95728,0.69478,0.97055,0.64873,1.10965,0.0017228,0.0017228,0.0017228
9,83.1015,1.16671,0.74509,1.20586,0.97349,0.96703,0.9838,0.76545,0.83746,0.6577,1.04577,0.0016832,0.0016832,0.0016832
10,94.3481,1.10352,0.6821,1.17939,0.9464,0.96703,0.979,0.74468,0.84436,0.70989,1.03758,0.0016436,0.0016436,0.0016436
11,105.503,1.07395,0.63111,1.16197,0.98897,0.98526,0.99247,0.78434,0.80357,0.44141,1.00821,0.001604,0.001604,0.001604
12,116.572,1.02453,0.5975,1.13574,0.97611,0.97802,0.9914,0.77034,0.85562,0.43025,1.0386,0.0015644,0.0015644,0.0015644
13,128.369,1.02374,0.59825,1.13134,0.98223,1,0.99043,0.78775,0.75284,0.42635,0.99274,0.0015248,0.0015248,0.0015248
14,138.292,1.02813,0.6009,1.12795,0.9832,0.98901,0.99468,0.79831,0.73179,0.41796,0.98113,0.0014852,0.0014852,0.0014852
15,149.463,1.02686,0.58426,1.13151,0.98901,0.98857,0.99002,0.79758,0.75004,0.41296,0.98906,0.0014456,0.0014456,0.0014456
16,160.634,0.99552,0.56207,1.11256,0.9453,0.94959,0.98627,0.73032,1.00448,0.54906,1.12482,0.001406,0.001406,0.001406
17,171.701,0.95848,0.53866,1.08811,0.97794,0.9743,0.99201,0.80222,0.71618,0.38704,0.96872,0.0013664,0.0013664,0.0013664
18,182.563,0.98881,0.55099,1.11033,0.98987,0.97802,0.99035,0.82692,0.68656,0.3949,0.94888,0.0013268,0.0013268,0.0013268
19,193.807,0.96422,0.53676,1.09626,0.98589,1,0.99489,0.8311,0.67991,0.37437,0.94043,0.0012872,0.0012872,0.0012872
20,204.816,0.93773,0.52168,1.08735,0.98911,0.99818,0.99087,0.82032,0.6623,0.37387,0.94688,0.0012476,0.0012476,0.0012476
21,215.853,0.9563,0.52283,1.10994,0.99061,0.98901,0.99468,0.8373,0.66317,0.34919,0.93949,0.001208,0.001208,0.001208
22,227.029,0.90268,0.50238,1.07987,0.97833,0.99217,0.99468,0.80576,0.74867,0.37331,0.9843,0.0011684,0.0011684,0.0011684
23,237.923,0.89783,0.48887,1.06763,0.97845,0.99785,0.98668,0.8297,0.65156,0.36855,0.92604,0.0011288,0.0011288,0.0011288
24,248.974,0.89629,0.48922,1.0729,0.97769,0.98901,0.99468,0.83021,0.68901,0.36483,0.94005,0.0010892,0.0010892,0.0010892
25,259.87,0.88853,0.50193,1.08395,0.97282,0.98901,0.99171,0.82014,0.69563,0.36518,0.94516,0.0010496,0.0010496,0.0010496
26,270.847,0.89022,0.47342,1.06717,0.97773,1,0.99457,0.83698,0.64561,0.35313,0.92542,0.00101,0.00101,0.00101
27,281.847,0.88761,0.47754,1.06051,0.97615,1,0.99457,0.85266,0.63481,0.33638,0.92158,0.0009704,0.0009704,0.0009704
28,292.761,0.86891,0.53809,1.05018,0.98912,0.99906,0.99489,0.81527,0.7378,0.37871,0.97329,0.0009308,0.0009308,0.0009308
29,303.812,0.85404,0.46837,1.06408,0.98658,0.98901,0.99447,0.8242,0.69714,0.33778,0.94824,0.0008912,0.0008912,0.0008912
30,314.629,0.8335,0.45308,1.03898,0.97849,0.99972,0.99468,0.82421,0.70827,0.32655,0.95209,0.0008516,0.0008516,0.0008516
31,326.018,0.81393,0.43363,1.02216,0.98781,0.98901,0.99447,0.82177,0.70214,0.3378,0.96028,0.000812,0.000812,0.000812
32,337.121,0.83872,0.44309,1.04817,0.97915,0.98901,0.99478,0.82551,0.68652,0.33626,0.94843,0.0007724,0.0007724,0.0007724
33,348.311,0.82407,0.45313,1.01969,0.97736,1,0.99446,0.83168,0.70561,0.31761,0.95737,0.0007328,0.0007328,0.0007328
34,359.216,0.81817,0.43686,1.03239,0.98631,0.98901,0.99468,0.85212,0.66357,0.31865,0.94143,0.0006932,0.0006932,0.0006932
35,370.506,0.79107,0.41729,1.01794,0.99821,0.98901,0.99478,0.85054,0.65971,0.30345,0.92897,0.0006536,0.0006536,0.0006536
36,381.292,0.76412,0.41059,1.0054,0.99523,0.98901,0.99468,0.83741,0.65329,0.30816,0.92972,0.000614,0.000614,0.000614
37,392.287,0.73815,0.39521,1.00986,1,0.98836,0.99468,0.8352,0.67657,0.31634,0.9403,0.0005744,0.0005744,0.0005744
